"","Goals","Assists","Points","PlMi","PIM","PPP","SHG","ATOI","SOG","HIT","BLK","GS","W","SV","SO","GAA","Result"
"1","11","18","29","3","37","9","0","1161","86","40","24","3","1","56","0","3.043","Win"
"2","7","5","12","-10","22","4","0","1117","75","41","20","4","0","129","0","3.023","Loss"
"3","6","10","16","-4","42","5","0","1145","71","38","29","4","1","102","0","2.245","Win"
"4","2","12","14","-4","16","4","0","1151","53","50","35","3","3","83","0","3.562","Loss"
"5","2","10","12","-18","9","5","0","1151","46","46","31","2","2","45","0","3.507","Loss"
"6","4","11","15","-2","10","5","0","1230","79","42","42","3","2","77","0","3.000","Win"
"7","7","18","25","9","23","9","0","1147","67","27","18","4","2","137","0","2.960","Loss"
"8","19","25","44","13","21","15","0","1264","86","28","35","4","4","80","0","1.485","Win"
"9","13","18","31","0","12","13","1","1235","99","43","29","3","2","78","0","2.984","Win"
"10","12","15","27","-2","10","5","1","1213","69","23","26","2","0","43","0","3.587","Loss"
"11","1","16","17","-2","20","4","0","1199","57","47","26","4","2","98","0","3.018","Loss"
"12","8","13","21","0","38","7","0","1218","74","47","34","5","2","131","0","4.795","Win"
"13","13","21","34","-3","47","11","0","1142","116","34","30","4","2","96","0","3.055","Win"
"14","11","22","33","10","29","8","0","1145","104","41","38","2","1","61","0","1.992","Loss"
"15","11","17","28","-11","33","11","0","1101","123","53","39","5","4","149","1","1.203","Loss"
"16","8","18","26","-9","43","8","0","1228","103","60","46","5","1","170","1","2.825","Win"
"17","7","17","24","5","17","3","1","1156","91","57","42","4","2","102","0","3.754","Loss"
"18","10","12","22","9","35","7","0","1167","90","44","50","6","3","166","0","3.358","Win"
"19","8","21","29","0","20","11","1","1174","106","49","51","4","2","122","0","2.673","Win"
"20","9","22","31","-14","16","13","0","1180","104","46","29","3","0","75","0","3.213","Loss"
"21","11","14","25","-16","36","10","0","1237","120","48","33","5","2","118","0","2.802","Loss"
"22","6","26","32","5","28","11","0","1208","98","58","45","5","3","116","0","2.224","Win"
"23","10","20","30","-12","22","11","0","1198","104","24","28","4","2","96","0","2.528","Loss"
"24","17","18","35","-1","42","11","0","1234","131","71","40","2","0","40","0","5.677","Win"
"25","5","14","19","-1","16","10","0","1174","98","44","45","4","3","105","3","1.000","Loss"
"26","8","17","25","3","26","7","0","1155","124","60","57","4","0","98","0","3.043","Win"
"27","12","13","25","-6","27","11","0","1107","106","32","33","6","5","159","0","2.727","Loss"
"28","18","20","38","-1","24","14","0","1144","139","40","45","5","3","137","1","1.770","Win"
